,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2024-12-12,13.920000076293945,14.511500120162964,4.2230000495910645,-0.3919997215270996,-0.04699993133544922,537.2091194152832,1,0.32969876827103484,2,1,1,1,1,0,6.0
2024-12-13,13.8100004196167,14.486500120162964,4.2179999351501465,-0.375,0.03000020980834961,537.7046217346192,1,0.32305107246946485,2,1,1,1,1,1,6.0
2024-12-16,14.6899995803833,14.414000129699707,4.228000164031982,-0.3169999122619629,0.026000022888183594,538.1895852661132,1,0.34326857483313233,2,0,1,1,1,1,6.0
2024-12-17,15.869999885559082,14.428500127792358,4.239999771118164,-0.2630000114440918,0.008000373840332031,538.664945526123,1,0.3309189190180437,2,0,1,1,1,1,6.0
2024-12-18,27.6200008392334,14.992000150680543,4.23199987411499,-0.2630000114440918,0.14800024032592773,539.0767556762695,1,0.27487409015334086,1,0,1,1,1,1,5.0
2024-12-19,24.09000015258789,15.338500165939331,4.21999979019165,-0.2670001983642578,0.2050004005432129,539.4751756286621,1,0.26274408989068254,1,0,1,1,1,1,5.0
2024-12-20,18.360000610351562,15.41300015449524,4.215000152587891,-0.25299978256225586,0.16499996185302734,539.8835517883301,1,0.2929848710136782,2,0,1,1,1,1,6.0
2024-12-23,16.780000686645508,15.490000200271606,4.215000152587891,-0.2669997215270996,0.23000001907348633,540.3244111633301,1,0.29056568990475706,2,0,1,1,1,1,6.0
2024-12-24,14.270000457763672,15.473500204086303,4.199999809265137,-0.2980003356933594,0.23800039291381836,540.7999885559082,1,0.30611151272415316,2,1,1,1,1,1,6.0
2024-12-26,14.729999542236328,15.505000162124634,4.215000152587891,-0.2669997215270996,0.21799993515014648,541.248999786377,1,0.29728245496837413,2,1,1,1,1,1,6.0
2024-12-27,15.949999809265137,15.597500133514405,4.177999973297119,-0.2950000762939453,0.2779998779296875,541.6707551574707,1,0.27743703969859923,2,0,1,1,1,1,6.0
2024-12-30,17.399999618530273,15.792000102996827,4.182000160217285,-0.28299999237060547,0.18799972534179688,542.0640097045898,1,0.26106019274019254,2,0,1,1,1,1,6.0
2024-12-31,17.350000381469727,15.992500114440919,4.208000183105469,-0.2969999313354492,0.17199993133544922,542.4639230346679,1,0.2557827114657085,2,0,1,1,1,1,6.0
2025-01-02,17.93000030517578,16.224000120162962,4.208000183105469,-0.3169999122619629,0.17199993133544922,542.8419493103028,1,0.2749004146097964,2,0,1,1,1,1,6.0
2025-01-03,16.1299991607666,16.358000087738038,4.192999839782715,-0.33500003814697266,0.21700000762939453,543.242091369629,1,0.30962210274726987,2,1,1,1,1,1,6.0
2025-01-06,16.040000915527344,16.483000135421754,4.190000057220459,-0.3449997901916504,0.23199987411499023,543.6357566833497,1,0.3315258836595314,2,1,1,1,1,1,6.0
